일시,평균기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),합계 일사량(MJ/m2),평균 지면온도(°C)
2022-01-01,-2.3,1.6,36,1023.2,11.49,-0.7
2022-01-02,0.6,1.7,47.3,1019.2,10.2,0
2022-01-03,-0.2,1.6,50.1,1018.7,11.16,-0.8
2022-01-04,1.9,2,39.4,1019.5,11.68,1.3
2022-01-05,0.6,0.8,43.9,1020.3,6.06,0.4
2022-01-06,2.9,2.3,38.5,1020.2,11.87,2.4
2022-01-07,0.1,1.1,42.8,1022.1,11.84,-0.2
2022-01-08,1.4,1.7,43.4,1017.2,11.9,-0.1
2022-01-09,2,0.9,65.9,1015.3,9.51,1.4
2022-01-10,3,1.4,61.8,1012.8,9.89,2.5
2022-01-11,-0.9,5,44.9,1010.6,12.42,2
2022-01-12,-3.2,3.6,42.1,1014.6,12.61,-1.2
2022-01-13,-2.8,5,42.3,1012.6,12.08,-1.3
2022-01-14,-2.6,2.6,35.3,1018,12.89,-1.7
2022-01-15,1,1.3,43.3,1016.1,11.63,1.3
2022-01-16,1.9,2.8,47.6,1016.2,11.31,2.2
2022-01-17,-0.4,4.2,49.1,1018.7,11.38,1.1
2022-01-18,-2.5,2.9,32.3,1020.4,13.28,-0.7
2022-01-19,-0.7,2.1,47.6,1016.8,11.47,0
2022-01-20,-1.1,2,46.3,1020.5,12.8,0.3
2022-01-21,-1,1,51.3,1023.6,13.18,-0.5
2022-01-22,2.3,1.1,63.1,1019.8,10.25,2.1
2022-01-23,6.4,1.5,62.3,1014.3,8.77,6.3
2022-01-24,4.9,2.7,61,1016,4.86,4.4
2022-01-25,4.5,1.3,66.6,1014.8,5.53,5.5
2022-01-26,3.8,2.6,55.4,1017.1,11.78,4.1
2022-01-27,3.2,1.9,45.6,1016.5,13.4,3.8
2022-01-28,2.3,3.2,32.5,1016.1,13.06,3.5
2022-01-29,1,3.4,34.3,1013.8,13.44,3.1
2022-01-30,1.1,2.6,34.5,1013.9,13.87,2.4
2022-01-31,1.3,2.1,33.5,1016.9,14.74,1.4
